entry_code,entry_type_code,entry_type_name,entry_type_name_zh,entry_name_zh,entry_name_en,n_records,n_people,first_year,last_year,n_valid_year_records,semantic_category,government_entry_confidence,include_target_v2_candidate,include_target_v2b_candidate,reason,manual_review_needed
26,0401,Regular Examination,正常科舉,科舉 (籠統),examination: general,106,106,838.0,1909.0,64,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
27,0402,Occasional Examination,非經常科舉,科舉制舉: 童子舉,examination: child prodigy exam,226,226,984.0,1823.0,104,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
28,0403,Decree Examination,制舉,科舉: 制舉 (籠統),examination: decree exams (general),86,86,-80.0,1679.0,37,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
29,0401,Regular Examination,正常科舉,科舉: 特奏名進士、特奏名諸科 、大挑,examination: jinshi or zhuke (facilitated degree),4280,4279,5.0,1872.0,4210,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
32,15,Failed Pursuit of Office,求官不得門,科舉: 舉制科不第,examination: failed decree exam,11,11,1069.0,1186.0,2,failed_entry,NONE,False,False,Official entry type or description explicitly records an unsuccessful pursuit/examination.,False
33,15,Failed Pursuit of Office,求官不得門,科舉: 舉進士、諸科不第,examination: failed jinshi or zhuke exams,170,170,931.0,1604.0,12,failed_entry,NONE,False,False,Official entry type or description explicitly records an unsuccessful pursuit/examination.,False
34,040102,Juren Examinations,舉人科,科舉: 漕試舉人,examination: fiscal intendent exam (caoshi),17,17,1247.0,1705.0,3,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
36,040101,Jinshi Examinations,進士類,科舉: 進士(籠統),examination: jinshi (general),92572,90718,5.0,1905.0,82865,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
37,040101,Jinshi Examinations,進士類,科舉: 進士(八行科),examination: jinshi (eight conducts),7,7,1108.0,1209.0,3,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
39,040102,Juren Examinations,舉人科,科舉: 鄉貢舉人,examination: juren (prefect or provincial graduates),56882,56784,11.0,1910.0,6695,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
42,0401,Regular Examination,正常科舉,科舉: 明法,examination: law (mingfa),15,15,1145.0,1561.0,4,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
43,0402,Occasional Examination,非經常科舉,科舉: 醫科,examination: medical,1,1,,,0,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
44,0401,Regular Examination,正常科舉,科舉: 武舉進士,examination: military jinshi (wuju),1599,1586,10.0,1889.0,1322,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
46,040102,Juren Examinations,舉人科,科舉: 武舉人,examination: military juren (wuju),302,301,1163.0,1885.0,174,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
47,040103,Licenciate,生員,學校: 生員(庠生),school: licentiate,16951,16949,650.0,1895.0,76,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
48,0401,Regular Examination,正常科舉,科舉: 正奏名諸科(不含明經、明法),"examination: various subjects(zhuke) (mingjing, mingfa excluded)",257,257,-51.0,1386.0,151,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
50,0501,Students in Schools,學生門,學校: 上舍及第,school: degree granted to top Upper Hall students,379,379,989.0,1348.0,337,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
52,0403,Decree Examination,制舉,科舉制舉: 秀才(宋及以前),xiucai (before the Song),53,53,559.0,1880.0,28,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
54,13,Decree of Special Grace,特旨門,科舉學校: 恩賜出身、特賜出身等,examination or school: degree granted by grace,679,676,960.0,1839.0,622,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
57,13,Decree of Special Grace,特旨門,以耆行等賜爵,"granted honorific title (b/c advanced age, righteous conducts, literary talents, etc.)",13,13,,,0,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
59,06,Yin Privilege,恩蔭門,恩蔭: 遺表蔭補,yin privilege: on death of,123,123,246.0,1626.0,76,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
60,06,Yin Privilege,恩蔭門,恩蔭: 致仕蔭補,yin privilege: on retirement of,29,29,1148.0,1261.0,5,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
62,06,Yin Privilege,恩蔭門,恩蔭: 死事蔭補,yin privilege: when relative killed for dynastic cause,52,52,739.0,1126.0,20,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
64,02,Kinship,血親門,世襲(替),rank or office by inheritance,1557,1556,243.0,1721.0,137,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
69,01,Palace,宮廷門,冊封爲皇后,investiture as empress,29,29,1.0,1195.0,22,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
70,01,Palace,宮廷門,立儲,investiture as heir apparent,27,27,-180.0,1620.0,23,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
72,03,Marriage,姻親門,其他與皇室聯姻關係,other affinal relations with imperial family,3,3,605.0,605.0,1,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
73,03,Marriage,姻親門,尚宗女 = 駙馬,marriage to imperial princess,42,42,465.0,1008.0,4,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
74,02,Kinship,血親門,宗子該恩,grace given to imperial clan,538,538,976.0,1142.0,24,hereditary_or_yin_privilege,MEDIUM,True,False,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,True
77,09,Military Merit,軍功補授門,軍員轉補,military merit: military service or distinction in battle,183,183,949.0,1262.0,12,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
78,0501,Students in Schools,學生門,學校: 武學博士,school: military university degree,1,1,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
80,11,Surrender,歸降門,歸明歸正補官,office because returned to allegiance,9,9,978.0,1387.0,5,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
83,10,Specialized Talents,技進門,以文學、文藝補官,office granted for literary or artistic skill,16,16,1355.0,1370.0,2,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
90,14,Religion,宗教門,得度,religion: ordination as monk,42,42,980.0,1564.0,8,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
91,09,Military Merit,軍功補授門,軍功補官,military merit: organizing a militia and other merits,65,65,869.0,1363.0,13,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
92,01,Palace,宮廷門,割據自立,personal declaration,27,26,229.0,1658.0,23,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
94,13,Decree of Special Grace,特旨門,封贈,honorific title based on merit of relative,1339,1338,1.0,1796.0,180,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
96,16;90,Seven Specials; Other Method of Entry,七色補官門; 其他入仕途徑,上書獻頌,7 specials: presentation of writings to the throne,26,26,957.0,1313.0,7,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
101,08,Recommendation,薦舉門,"薦舉 (保任,保舉)",recommendation,891,886,181.0,1810.0,247,recommendation,HIGH,True,True,Official taxonomy identifies recommendation as the entry route.,False
105,11,Surrender,歸降門,納土授官,repealed independence of local regime and swore allegience to new dynasty,15,14,618.0,978.0,9,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
107,07,Recruitment,徵召門,辟爲幕僚,employed as secretary,27,27,766.0,1210.0,7,direct_appointment,HIGH,True,True,Official taxonomy identifies summons/recruitment; the description records direct recruitment or appointment.,False
109,0503,Tribute Students,貢生門,"貢生 = 貢監生(籠統) (明清賓貢,功貢)",tribute student: general,3900,3898,8.0,1879.0,97,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
110,0502,Imperial Academy Students,監生門,監生(籠統),Imperial Academy student: general,28108,28107,1390.0,1889.0,34,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
111,0503,Tribute Students,貢生門,貢生: 歲貢、常貢、挨貢,tribute student: annual routine,2183,2183,14.0,1902.0,97,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
112,01,Palace,宮廷門,繼位,succession,162,162,-194.0,1627.0,142,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
113,01,Palace,宮廷門,弑君自立,succession through assassination,13,13,252.0,942.0,9,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
114,11,Surrender,歸降門,易代變節,surrender when dynasty changes,24,24,623.0,1234.0,9,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
116,10,Specialized Talents,技進門,以方技進,specialized techniques (fangji),5,5,,,0,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
118,06,Yin Privilege,恩蔭門,恩蔭、蔭補(籠統),yin privilege: general,1973,1965,623.0,1814.0,201,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
124,040101,Jinshi Examinations,進士類,科舉: 國子監進士,examination: jinshi (from Imperial Academy graduates),12,12,1258.0,1532.0,2,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
130,0401,Regular Examination,正常科舉,科舉: 詞科,examination: literary exams,27,27,1014.0,1247.0,15,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
132,16;90,Seven Specials; Other Method of Entry,七色補官門; 其他入仕途徑,雜色補授 (籠統),7 specials: general,9,9,,,0,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
135,90,Other Method of Entry,其他入仕途徑,攝官轉正,promotion from irregular status officials in Guangnan,0,0,,,0,direct_appointment,HIGH,True,True,"Description within the Other branch explicitly indicates office, appointment, or promotion.",False
137,13,Decree of Special Grace,特旨門,特賜補官、准赦文除授等,office (not degree) granted by special grace,126,126,994.0,1346.0,28,failed_entry,NONE,False,False,Official entry type or description explicitly records an unsuccessful pursuit/examination.,False
138,06,Yin Privilege,恩蔭門,恩蔭: 聖節蔭補,yin privilege: on Emperor's birthday,5,5,1040.0,1051.0,3,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
139,09,Military Merit,軍功補授門,軍功補授(籠統)(軍功),military merit: general,784,784,,,0,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
140,09,Military Merit,軍功補授門,揀汰軍人補授,military merit: recruitment from demobilized military men,0,0,,,0,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
141,09,Military Merit,軍功補授門,招降補官,military merit: recruitment of rebels who returned to allegiance,4,4,965.0,965.0,1,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
142,09,Military Merit,軍功補授門,保甲補官,military merit: recruitment from baojia leaders,0,0,,,0,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
143,09,Military Merit,軍功補授門,借補入官,military merit: recognition of unofficial appointment,0,0,,,0,military_entry,HIGH,True,True,Official taxonomy identifies military merit or military appointment as the route.,False
144,03;16,Marriage; Seven Specials,姻親門; 七色補官門,宗室女夫曾得解者,7 specials: son-in-law of imperial clansmen (who once passed the juren exam),0,0,,,0,ambiguous,LOW,False,False,Multiple official type mappings conflict or provide insufficient appointment semantics.,True
145,03;16,Marriage; Seven Specials,姻親門; 七色補官門,戚里女夫及捧香,7 specials: son-in-law and relative of imperial affine,1,1,,,0,ambiguous,LOW,False,False,Multiple official type mappings conflict or provide insufficient appointment semantics.,True
146,03;16,Marriage; Seven Specials,姻親門; 七色補官門,異姓恩澤,7 specials: affine of official above the 5th mourning grade,0,0,,,0,ambiguous,LOW,False,False,Multiple official type mappings conflict or provide insufficient appointment semantics.,True
147,16;90,Seven Specials; Other Method of Entry,七色補官門; 其他入仕途徑,陣亡人女夫,7 specials: son-in-law of one who died in the battlefield,0,0,,,0,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
149,16;90,Seven Specials; Other Method of Entry,七色補官門; 其他入仕途徑,隨奉使補官,7 specials: accompanying diplomat to foreign court,0,0,,,0,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
150,16;90,Seven Specials; Other Method of Entry,七色補官門; 其他入仕途徑,吏人特恩減年,7 specials: grace to clerks with reduced tenure years,0,0,,,0,other_clear_entry,MEDIUM,True,False,"Official taxonomy records another institutional route, but description does not independently confirm appointment.",True
152,0503,Tribute Students,貢生門,貢生: 拔貢,tribute student: selected,7286,7281,1575.0,1897.0,239,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
153,0503,Tribute Students,貢生門,貢生: 選貢(優貢 after 1628),tribute student: distinguished,326,326,1461.0,1906.0,26,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
154,0503,Tribute Students,貢生門,貢生: 副貢,tribute student: appended,896,896,1588.0,1903.0,55,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
155,0503,Tribute Students,貢生門,"貢生: 納貢(例貢,增貢,捐貢)",tribute student: by purchase,1015,1015,1544.0,1873.0,4,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
156,0502,Imperial Academy Students,監生門,監生: 舉監,Imperial Academy student: as juren,1,1,1759.0,1759.0,1,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
157,0502,Imperial Academy Students,監生門,監生: 蔭監(含明代官生、恩生，或清代恩廕生、難廕生),Imperial Academy student: by yin privilege,574,574,1623.0,1899.0,11,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
158,0502,Imperial Academy Students,監生門,監生: 例監(附監生),Imperial Academy student: by purchase,737,737,1643.0,1896.0,11,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
159,0502,Imperial Academy Students,監生門,監生: 恩監,Imperial Academy student: by grace,6,6,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
160,0503,Tribute Students,貢生門,監生: 優監,Imperial Academy student: distinguished,0,0,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
161,0401,Regular Examination,正常科舉,科舉: 明經,examination: mingjing,272,272,1.0,1687.0,58,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
162,14,Religion,宗教門,賜師號,religion: granted religious titles,0,0,,,0,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
163,06,Yin Privilege,恩蔭門,其他蔭補(確定非聖節、大禮、致仕、遺表、死事蔭補),yin privilege: others,4,4,1270.0,1270.0,1,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
164,90,Other Method of Entry,其他入仕途徑,其他,others,4,4,1146.0,1146.0,1,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
166,10,Specialized Talents,技進門,書藝補官,office granted for calligraphic skill,8,8,1407.0,1436.0,2,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
168,0401,Regular Examination,正常科舉,科舉: 四川類省試,examination: quasi-departmental examination in Sichuan,6,6,1135.0,1213.0,5,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
169,0502,Imperial Academy Students,監生門,太學生,student at the National University,758,758,1117.0,1750.0,14,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
170,0401,Regular Examination,正常科舉,科舉: 明通榜,Roster of Lesser Scholastics,18,18,1737.0,1765.0,13,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
171,0501,Students in Schools,學生門,縣學附生,supplementary student at county school,1452,1452,,,0,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
172,0501,Students in Schools,學生門,官學生,government school student,202,202,1031.0,1855.0,7,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
173,040103;0501,Licenciate; Students in Schools,生員; 學生門,縣學生員,county school student,352,352,1541.0,1898.0,21,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
174,0402,Occasional Examination,非經常科舉,恩科孝廉,(Qing) special examination: for filial and honest,7,7,1736.0,1851.0,5,exam_degree,MEDIUM,True,False,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,True
175,0503,Tribute Students,貢生門,以優行貢太學,admitted to the Imperial Academy due to exceptional conduct,19,19,1383.0,1750.0,6,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
176,0503,Tribute Students,貢生門,副貢生,"tribute student by purchase, second class",74,73,1567.0,1885.0,38,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
177,0503,Tribute Students,貢生門,附貢生,"tribute student by purchase, third class",3800,3800,1858.0,1903.0,4,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
178,0401,Regular Examination,正常科舉,副車,honorable failure in the provincial exams,29,28,1610.0,1849.0,14,failed_entry,NONE,False,False,Official entry type or description explicitly records an unsuccessful pursuit/examination.,False
179,040102,Juren Examinations,舉人科,恩科鄉試舉人,provincial graduate by special examination,26,26,1403.0,1900.0,17,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
180,0501,Students in Schools,學生門,廩生,stipend student,2150,2150,16.0,1884.0,11,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
181,90,Other Method of Entry,其他入仕途徑,領催,Archivist,75,75,1635.0,1897.0,46,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
182,0503,Tribute Students,貢生門,廩貢生,"Tribute Student by Purchase, First Class",7316,7316,1774.0,1835.0,3,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
183,0502,Imperial Academy Students,監生門,廩監生,Imperial Academy student: First Class,23,22,1567.0,1568.0,2,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
184,0501,Students in Schools,學生門,附生,Supplementary Student,226,226,1707.0,1707.0,1,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
185,040102,Juren Examinations,舉人科,欽賜舉人,Provincial Graduate by Imperial Grace,21,21,1729.0,1897.0,17,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
186,040102,Juren Examinations,舉人科,繙譯舉人,Provincial Graduate in Translation,66,66,1725.0,1894.0,38,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
187,040101,Jinshi Examinations,進士類,繙譯進士,Metropolitan Graduate in Translation,101,101,1739.0,1889.0,100,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
188,0401,Regular Examination,正常科舉,副榜,On the Supplementary List of Graduates,2736,2730,1388.0,1888.0,138,exam_degree,HIGH,True,True,Official taxonomy places the code in an examination branch; confidence is high only when the description explicitly signals a passed degree/graduate outcome.,False
189,0501,Students in Schools,學生門,二品廕生,Student by Inheritance from a Rank 2 Official,36,36,1722.0,1895.0,7,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
190,90,Other Method of Entry,其他入仕途徑,挑補拜唐阿,Bannerman Appointed to the Imperial Guard,37,37,,,0,military_entry,MEDIUM,True,False,"Description indicates a military role, but the broad Other branch does not always prove a bureaucratic appointment.",True
191,040103;0501,Licenciate; Students in Schools,生員; 學生門,增廣生; 增廣生員,Added Student,669,669,1630.0,1865.0,3,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
192,040103;0501,Licenciate; Students in Schools,生員; 學生門,文生員,Civil Licentiate,111,111,1382.0,1882.0,6,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
193,040103;0501,Licenciate; Students in Schools,生員; 學生門,武生員,Military Licentiate,138,138,1591.0,1877.0,6,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
194,02,Kinship,血親門,宗室,Imperial Clan,207,207,655.0,821.0,2,hereditary_or_yin_privilege,MEDIUM,True,False,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,True
195,02,Kinship,血親門,覺羅,Qing Imperial House,5,5,1910.0,1910.0,1,hereditary_or_yin_privilege,MEDIUM,True,False,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,True
